lr-Adam/pg1,lr-Adam/pg2,lr-Adam/pg3,step,val_mse,val_loss,val_gloss,epoch,train_mse,train_loss,train_gloss,mu,sig,lx,lt
0.001,0.001,0.0005,0,,,,,,,,,,,
,,,104,280.12562012631986,0.005161380119233114,5.036748847717414e-05,0,,,,,,,
,,,104,,,,0,780.8844753399824,0.014387979238100668,0.00015402160161299402,,,,
0.0009999901304280686,0.0009999901304280686,0.0004999950652140343,105,,,,,,,,,,,
,,,209,180.16381660443034,0.0033195604914964256,3.836271165626793e-05,1,,,,,,,
,,,209,,,,1,248.7593856926224,0.00458344990796473,8.460933770548153e-05,,,,
0.0009999605221019082,0.0009999605221019082,0.0004999802610509541,210,,,,,,,,,,,
,,,314,162.52846618207718,0.002994625032095757,3.629806744528027e-05,2,,,,,,,
,,,314,,,,2,188.3029227921658,0.003469525428108654,6.656070358467627e-05,,,,
0.0009999111761904045,0.0009999111761904045,0.0004999555880952023,315,,,,,,,,,,,
,,,419,136.81572940440148,0.002520861838441696,3.3379141840410145e-05,3,,,,,,,
,,,419,,,,3,161.69847312601158,0.002979332215763043,6.136677216303956e-05,,,,
0.00099984209464165,0.00099984209464165,0.000499921047320825,420,,,,,,,,,,,
,,,524,164.33710530870584,0.003027949631348188,3.4212499666795546e-05,4,,,,,,,
,,,524,,,,4,147.3626829392191,0.0027151919260236016,5.744223644531806e-05,,,,
0.0009997532801828658,0.0009997532801828658,0.0004998766400914329,525,,,,,,,,,,,
,,,629,116.43135907068776,0.002145275043716991,3.162762634880738e-05,5,,,,,,,
,,,629,,,,5,137.03101128725834,0.002524828457523904,5.162642240981289e-05,,,,
0.0009996447363202945,0.0009996447363202945,0.0004998223681601473,630,,,,,,,,,,,
,,,734,104.97596507745729,0.0019342067280521103,2.9610833184373968e-05,6,,,,,,,
,,,734,,,,6,119.99602074920854,0.002210954769516481,4.723100924677483e-05,,,,
0.0009995164673390624,0.0009995164673390624,0.0004997582336695312,735,,,,,,,,,,,
,,,839,99.0674385533575,0.001825340743849387,2.8315363127887374e-05,7,,,,,,,
,,,839,,,,7,112.43328910525223,0.0020716096687841408,4.492805414412016e-05,,,,
0.0009993684783030088,0.0009993684783030088,0.0004996842391515044,840,,,,,,,,,,,
,,,944,90.2699616809516,0.001663245173268684,2.7616693297164742e-05,8,,,,,,,
,,,944,,,,8,104.90788914889717,0.0019329524131340035,4.361653988297856e-05,,,,
0.0009992007750544876,0.0009992007750544876,0.0004996003875272438,945,,,,,,,,,,,
,,,1049,82.10077984226058,0.001512726085747855,2.682216761890496e-05,9,,,,,,,
,,,1049,,,,9,96.21242944948142,0.001772736532844587,3.934533592412117e-05,,,,
0.0009990133642141358,0.0009990133642141358,0.0004995066821070679,1050,,,,,,,,,,,
,,,1154,109.33476698452722,0.002014518673445328,2.9098803719678845e-05,10,,,,,,,
,,,1154,,,,10,89.76141197984713,0.0016538750259906915,3.684081610776956e-05,,,,
0.0009988062531806126,0.0009988062531806126,0.0004994031265903063,1155,,,,,,,,,,,
,,,1259,81.50328898573107,0.0015017171768628903,2.5946909271931483e-05,11,,,,,,,
,,,1259,,,,11,88.74134123730454,0.0016350799837935642,3.715100035626864e-05,,,,
0.000998579450130307,0.000998579450130307,0.0004992897250651535,1260,,,,,,,,,,,
,,,1364,100.31857107264767,0.001848393153367225,2.7817281911063766e-05,12,,,,,,,
,,,1364,,,,12,87.80993530967453,0.0016179186115647854,3.621039916957647e-05,,,,
0.0009983329640170149,0.0009983329640170149,0.0004991664820085074,1365,,,,,,,,,,,
,,,1469,86.69989251356593,0.0015974658132211375,2.6542199378670018e-05,13,,,,,,,
,,,1469,,,,13,84.2399768248708,0.0015521412908697176,3.4876333544423787e-05,,,,
0.0009980668045715864,0.0009980668045715864,0.0004990334022857932,1470,,,,,,,,,,,
,,,1574,75.39315591200945,0.0013891365447937696,2.5809143485916684e-05,14,,,,,,,
,,,1574,,,,14,80.70019267360746,0.0014869199393329742,3.3721844181578765e-05,,,,
0.0009977809823015402,0.0009977809823015402,0.0004988904911507701,1575,,,,,,,,,,,
,,,1679,83.36178343038216,0.0015359603720194116,2.700682162541216e-05,15,,,,,,,
,,,1679,,,,15,73.09984884284296,0.0013468818252548886,3.0471411461023016e-05,,,,
0.0009974755084906502,0.0009974755084906502,0.0004987377542453251,1680,,,,,,,,,,,
,,,1784,82.03559672334775,0.0015115250715246125,2.5336252442576425e-05,16,,,,,,,
,,,1784,,,,16,77.59428823348082,0.0014296929230312205,3.253492184216661e-05,,,,
0.0009971503951984996,0.0009971503951984996,0.0004985751975992498,1785,,,,,,,,,,,
,,,1889,83.35786397461123,0.0015358881551294143,2.665583860781365e-05,17,,,,,,,
,,,1889,,,,17,76.55978908919853,0.0014106320341548148,3.135714696359357e-05,,,,
0.0009968056552600044,0.0009968056552600044,0.0004984028276300022,1890,,,,,,,,,,,
,,,1994,71.29544094977548,0.0013136351874712185,2.3234724809740145e-05,18,,,,,,,
,,,1994,,,,18,74.28597648218805,0.0013687365046441856,3.1027456643889686e-05,,,,
0.000996441302284907,0.000996441302284907,0.0004982206511424535,1995,,,,,,,,,,,
,,,2099,76.58046683337278,0.0014110130264312207,2.447618227642623e-05,19,,,,,,,
,,,2099,,,,19,70.23594598177098,0.0012941137446920111,2.9265014573785875e-05,,,,
0.0009960573506572392,0.0009960573506572392,0.0004980286753286196,2100,,,,,,,,,,,
,,,2204,63.429020158817785,0.0011686945431215077,2.2785810678015433e-05,20,,,,,,,
,,,2204,,,,20,68.60839680641966,0.001264125770179204,2.8893437422776914e-05,,,,
0.0009956538155347534,0.0009956538155347534,0.0004978269077673767,2205,,,,,,,,,,,
,,,2309,59.579655422432175,0.00109776909684102,2.237704675435475e-05,21,,,,,,,
,,,2309,,,,21,65.29609216107734,0.0012030957817846957,2.7623838614223687e-05,,,,
0.0009952307128483257,0.0009952307128483257,0.0004976153564241628,2310,,,,,,,,,,,
,,,2414,57.793830822085965,0.0010648648605754902,2.2498799300796524e-05,22,,,,,,,
,,,2414,,,,22,66.53808476298524,0.0012259797861854057,2.794488378880822e-05,,,,
0.0009947880593013255,0.0009947880593013255,0.0004973940296506627,2415,,,,,,,,,,,
,,,2519,124.1776825309229,0.0022880028666372116,3.0051609611028084e-05,23,,,,,,,
,,,2519,,,,23,69.36082659886043,0.001277989465224558,2.882654737648614e-05,,,,
0.000994325872368957,0.000994325872368957,0.0004971629361844785,2520,,,,,,,,,,,
,,,2624,68.46904658896332,0.0012615582098051627,2.4063058395814798e-05,24,,,,,,,
,,,2624,,,,24,71.00986319958427,0.0013083733505793716,2.9593388738028793e-05,,,,
0.0009938441702975688,0.0009938441702975688,0.0004969220851487844,2625,,,,,,,,,,,
,,,2729,61.31265806879899,0.0011297000762405566,2.2549782565111163e-05,25,,,,,,,
,,,2729,,,,25,65.24613039351925,0.0012021752245229942,2.752805858918477e-05,,,,
0.000993342972103934,0.000993342972103934,0.000496671486051967,2730,,,,,,,,,,,
,,,2834,58.19960319237196,0.001072341311476282,2.1581788808270508e-05,26,,,,,,,
,,,2834,,,,26,61.862808203211614,0.0011398367212395767,2.6309996075705504e-05,,,,
0.000992822297574499,0.000992822297574499,0.0004964111487872495,2835,,,,,,,,,,,
,,,2939,53.632353418137,0.000988188665339602,2.1680772540686505e-05,27,,,,,,,
,,,2939,,,,27,62.926642803847784,0.001159438122765791,2.6511423196332687e-05,,,,
0.0009922821672646027,0.0009922821672646027,0.0004961410836323014,2940,,,,,,,,,,,
,,,3044,56.848601941452756,0.0010474487972021182,2.145086353727202e-05,28,,,,,,,
,,,3044,,,,28,57.732993111739084,0.0010637439115221959,2.4478569121435375e-05,,,,
0.0009917226024976648,0.0009917226024976648,0.0004958613012488324,3045,,,,,,,,,,,
,,,3149,66.92219287216254,0.0012330570680043616,2.3087370529272464e-05,29,,,,,,,
,,,3149,,,,29,61.648634922189295,0.0011358905284056574,2.6322888648709136e-05,,,,
0.0009911436253643444,0.0009911436253643444,0.0004955718126821722,3150,,,,,,,,,,,
,,,3254,55.936450906409085,0.0010306422008761935,2.1936597400093578e-05,30,,,,,,,
,,,3254,,,,30,60.4216433254631,0.0011132829210366746,2.5367123974523636e-05,,,,
0.000990545258721667,0.000990545258721667,0.0004952726293608335,3255,,,,,,,,,,,
,,,3359,56.49847106630693,0.00104099755387317,2.1683915417740914e-05,31,,,,,,,
,,,3359,,,,31,56.4589131285695,0.001040268689611116,2.407253869903736e-05,,,,
0.0009899275261921233,0.0009899275261921233,0.0004949637630960617,3360,,,,,,,,,,,
,,,3464,61.65749563693479,0.0011360537891488523,2.3318271322321838e-05,32,,,,,,,
,,,3464,,,,32,60.256425259300556,0.0011102387394953902,2.5223725109736326e-05,,,,
0.000989290452162736,0.000989290452162736,0.000494645226081368,3465,,,,,,,,,,,
,,,3569,57.2525290808074,0.0010548912492910904,2.1700744718367603e-05,33,,,,,,,
,,,3569,,,,33,65.4788581257874,0.0012064632874641183,2.710816322278321e-05,,,,
0.0009886340617840967,0.0009886340617840967,0.0004943170308920483,3570,,,,,,,,,,,
,,,3674,56.99492330650923,0.0010501448026024132,2.158692178733928e-05,34,,,,,,,
,,,3674,,,,34,57.53385904512943,0.0010600748197340277,2.4383394802178763e-05,,,,
0.0009879583809693736,0.0009879583809693736,0.0004939791904846868,3675,,,,,,,,,,,
,,,3779,46.218497908484366,0.0008515866422289262,1.9420954415078037e-05,35,,,,,,,
,,,3779,,,,35,56.821022320356505,0.001046940636227917,2.399532216214499e-05,,,,
0.0009872634363932884,0.0009872634363932884,0.0004936317181966442,3780,,,,,,,,,,,
,,,3884,80.21309941598291,0.0014779451320483636,2.271467775538921e-05,36,,,,,,,
,,,3884,,,,36,56.07068381655499,0.0010331154736652425,2.327365529300268e-05,,,,
0.0009865492554910632,0.0009865492554910632,0.0004932746277455316,3885,,,,,,,,,,,
,,,3989,54.26977006386151,0.000999933216235829,2.0066246100963305e-05,37,,,,,,,
,,,3989,,,,37,54.28315453112135,0.001000179828177965,2.3031568868436576e-05,,,,
0.0009858158664573368,0.0009858158664573368,0.0004929079332286684,3990,,,,,,,,,,,
,,,4094,51.37642381160268,0.0009466226342985817,2.0577497679068112e-05,38,,,,,,,
,,,4094,,,,38,54.89258154439364,0.0010114086635447865,2.3093921557030113e-05,,,,
0.0009850632982450526,0.0009850632982450526,0.0004925316491225263,4095,,,,,,,,,,,
,,,4199,48.656669257742166,0.0008965105200365618,2.0036030911360378e-05,39,,,,,,,
,,,4199,,,,39,57.307044247561215,0.0010558957039987784,2.426198040092568e-05,,,,
0.0009842915805643151,0.0009842915805643151,0.0004921457902821576,4200,,,,,,,,,,,
,,,4304,55.16064403897109,0.0010163477777521922,2.1261035419164687e-05,40,,,,,,,
,,,4304,,,,40,53.46477120817402,0.0009851009238954244,2.2766447859459515e-05,,,,
0.000983500743881217,0.000983500743881217,0.0004917503719406085,4305,,,,,,,,,,,
,,,4409,58.60308414476447,0.0010797755424660387,2.0474983416392113e-05,41,,,,,,,
,,,4409,,,,41,51.80270139138638,0.0009544768984839794,2.1598318257724227e-05,,,,
0.0009826908194166364,0.0009826908194166364,0.0004913454097083182,4410,,,,,,,,,,,
,,,4514,54.0733908059218,0.0009963148824422162,2.109394394742777e-05,42,,,,,,,
,,,4514,,,,42,54.803404135314835,0.001009765548908944,2.290010606245377e-05,,,,
0.0009818618391450045,0.0009818618391450045,0.0004909309195725022,4515,,,,,,,,,,,
,,,4619,59.73966352189942,0.0011007172835264577,2.1188289179214423e-05,43,,,,,,,
,,,4619,,,,43,52.34944007066245,0.0009645506866235962,2.1738789356385917e-05,,,,
0.0009810138357930424,0.0009810138357930424,0.0004905069178965212,4620,,,,,,,,,,,
,,,4724,48.63117636252581,0.0008960408074751331,2.0492606597218222e-05,44,,,,,,,
,,,4724,,,,44,55.006530694778604,0.0010135082033124643,2.3022968777930575e-05,,,,
0.000980146842838471,0.000980146842838471,0.0004900734214192355,4725,,,,,,,,,,,
,,,4829,55.461349561039476,0.0010218883473818014,2.0508605732382195e-05,45,,,,,,,
,,,4829,,,,45,49.941675840967356,0.0009201870671112332,2.1122436743554213e-05,,,,
0.0009792608945086874,0.0009792608945086874,0.0004896304472543437,4830,,,,,,,,,,,
